timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780887232650,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,21,0,11
1780887232675,44,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,44,0,0
1780887232719,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,3,0,0
1780887232722,44,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,3,0,0
1780887232766,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,45,0,0
1780887232811,45,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,45,0,0
1780887232856,46,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,46,0,0
1780887232903,43,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,43,0,0
1780887232946,44,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,4,0,0
1780887232991,44,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,44,0,0
1780887233612,48,HTTP Request,200,OK,Thread Group 1-2,text,true,,10660,169,1,1,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,48,0,2
