timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780888064518,184,HTTP Request,200,OK,Thread Group 1-5,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,182,0,0
1780888064583,122,HTTP Request,200,OK,Thread Group 1-8,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,122,0,1
1780888064701,179,HTTP Request,200,OK,Thread Group 1-2,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,179,0,0
1780888064703,177,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,177,0,0
1780888064703,177,HTTP Request,200,OK,Thread Group 1-3,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,177,0,0
1780888064703,177,HTTP Request,200,OK,Thread Group 1-4,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,177,0,0
1780888064703,178,HTTP Request,200,OK,Thread Group 1-5,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,178,0,0
1780888064703,178,HTTP Request,200,OK,Thread Group 1-6,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,178,0,0
1780888064705,176,HTTP Request,200,OK,Thread Group 1-8,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,176,0,0
1780888064703,178,HTTP Request,200,OK,Thread Group 1-7,text,true,,10660,169,8,8,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,178,0,0
1780888064881,192,HTTP Request,200,OK,Thread Group 1-5,text,true,,10660,169,9,9,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,192,0,0
1780888064881,193,HTTP Request,200,OK,Thread Group 1-6,text,true,,10660,169,9,9,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,193,0,0
1780888064881,193,HTTP Request,200,OK,Thread Group 1-7,text,true,,10660,169,9,9,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,193,0,0
1780888064880,193,HTTP Request,200,OK,Thread Group 1-3,text,true,,10660,169,9,9,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,193,0,0
1780888064881,193,HTTP Request,200,OK,Thread Group 1-8,text,true,,10660,169,9,9,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,193,0,0
1780888064880,193,HTTP Request,200,OK,Thread Group 1-4,text,true,,10660,169,9,9,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,193,0,0
1780888064880,193,HTTP Request,200,OK,Thread Group 1-2,text,true,,10660,169,9,9,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,193,0,0
1780888064880,195,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,9,9,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,195,0,0
1780888065075,200,HTTP Request,200,OK,Thread Group 1-3,text,true,,10660,169,10,10,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,199,0,0
1780888065076,417,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,11,11,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,417,0,0
1780888065075,418,HTTP Request,200,OK,Thread Group 1-4,text,true,,10660,169,11,11,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,418,0,0
1780888065075,418,HTTP Request,200,OK,Thread Group 1-2,text,true,,10660,169,11,11,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,418,0,0
1780888065074,420,HTTP Request,200,OK,Thread Group 1-5,text,true,,10660,169,11,11,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,420,0,0
1780888065074,420,HTTP Request,200,OK,Thread Group 1-6,text,true,,10660,169,11,11,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,420,0,0
1780888065074,420,HTTP Request,200,OK,Thread Group 1-7,text,true,,10660,169,11,11,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,420,0,0
1780888065075,420,HTTP Request,200,OK,Thread Group 1-8,text,true,,10660,169,11,11,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,419,0,0
1780888064884,611,HTTP Request,200,OK,Thread Group 1-9,text,true,,10660,169,11,11,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,611,0,2
1780888065275,815,HTTP Request,200,OK,Thread Group 1-3,text,true,,10660,169,13,13,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,815,0,0
1780888065494,13804,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,13804,0,0
1780888065494,13804,HTTP Request,200,OK,Thread Group 1-5,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,13804,0,0
1780888065494,13804,HTTP Request,200,OK,Thread Group 1-7,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,13804,0,0
1780888065495,13803,HTTP Request,200,OK,Thread Group 1-8,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,13803,0,0
1780888065494,13804,HTTP Request,200,OK,Thread Group 1-4,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,13804,0,0
1780888065494,13804,HTTP Request,200,OK,Thread Group 1-2,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,13804,0,0
1780888065495,13804,HTTP Request,200,OK,Thread Group 1-9,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,13804,0,0
1780888065187,14112,HTTP Request,200,OK,Thread Group 1-10,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,14112,0,2
1780888065494,13804,HTTP Request,200,OK,Thread Group 1-6,text,true,,10660,169,57,57,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,13804,0,0
1780888065485,14635,HTTP Request,200,OK,Thread Group 1-11,text,true,,10660,169,59,59,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,14634,0,2
1780888066091,14184,HTTP Request,200,OK,Thread Group 1-3,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,14184,0,0
1780888079298,977,HTTP Request,200,OK,Thread Group 1-1,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,977,0,0
1780888079299,977,HTTP Request,200,OK,Thread Group 1-2,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,977,0,0
1780888079298,978,HTTP Request,200,OK,Thread Group 1-5,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,978,0,0
1780888079298,978,HTTP Request,200,OK,Thread Group 1-7,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,978,0,0
1780888079299,980,HTTP Request,200,OK,Thread Group 1-6,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,977,0,0
1780888079299,980,HTTP Request,200,OK,Thread Group 1-4,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,980,0,0
1780888079299,980,HTTP Request,200,OK,Thread Group 1-9,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,980,0,0
1780888066086,14193,HTTP Request,200,OK,Thread Group 1-13,text,true,,10660,169,60,60,http://127.0.0.1:50097/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b#,14193,0,2
